DIAGNOSIS_CD,DIAGNOSIS_CD_TYPE,n,subCat
2722,ICD9,29967,Other metabolic and immunity disorders 
V5869,ICD9,29038,Factors influencing Health Status 
71946,ICD9,28957,Arthropathies and related disorders 
7881,ICD9,28519,Symptoms 
Z20828,ICD10,28449,Persons with potential health hazards related to communicable diseases
R0789,ICD10,28439,Symptoms and signs involving the circulatory and respiratory systems
E6601,ICD10,28128,Obesity and other hyperalimentation
N390,ICD10,28050,Other diseases of urinary system
Z124,ICD10,27416,Persons encountering health services for examination and investigation
V7651,ICD9,27110,Factors influencing Health Status 
78605,ICD9,26894,Symptoms 
311,ICD9,26844,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
78060,ICD9,26705,Symptoms 
Z98890,ICD10,25929,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
5990,ICD9,25848,Other diseases of urinary system 
4619,ICD9,25760,Acute respiratory infections 
4660,ICD9,25499,Acute respiratory infections 
J45909,ICD10,25212,Chronic lower respiratory diseases
Z00129,ICD10,25144,Persons encountering health services for examination and investigation
R197,ICD10,24892,Symptoms and signs involving the digestive system and abdomen
V061,ICD9,24736,Factors influencing Health Status 
25000,ICD9,24538,Diseases of other endocrine glands 
V202,ICD9,24496,Factors influencing Health Status 
E039,ICD10,24414,Disorders of thyroid gland
R9431,ICD10,24321,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
M542,ICD10,24273,Other dorsopathies
D649,ICD10,24266,Aplastic and other anaemias
J209,ICD10,23604,Other acute lower respiratory infections
G4733,ICD10,23603,Episodic and paroxysmal disorders
33829,ICD9,23567,Hereditary and Degenerative diseases of the central nervous system 
V762,ICD9,23023,Factors influencing Health Status 
J309,ICD10,22927,Other diseases of the upper respiratory tract
7804,ICD9,22917,Symptoms 
7245,ICD9,22822,Dorsopathies 
R300,ICD10,22631,Symptoms and signs involving the urinary system
M25561,ICD10,22564,Other joint disorders
78791,ICD9,22532,Symptoms 
Z13220,ICD10,22516,Persons encountering health services for examination and investigation
49390,ICD9,22411,Chronic obstructive pulmonary disease and allied conditions 
Z09,ICD10,22235,Persons encountering health services for examination and investigation
R110,ICD10,22234,Symptoms and signs involving the digestive system and abdomen
M25562,ICD10,21763,Other joint disorders
E7800,ICD10,21641,Metabolic disorders
78609,ICD9,21627,Symptoms 
M549,ICD10,21615,Other dorsopathies
R112,ICD10,21558,Symptoms and signs involving the digestive system and abdomen
2689,ICD9,21464,Nutritional deficiencies 
28,OTHER,21288,
71941,ICD9,21202,Arthropathies and related disorders 
79029,ICD9,21022,Nonspecific abnormal findings 
2720,ICD9,20998,Other metabolic and immunity disorders 
7231,ICD9,20831,Dorsopathies 
V7284,ICD9,20806,Factors influencing Health Status 
K5900,ICD10,20778,Other diseases of intestines
F411,ICD10,20746,"Neurotic, stress-related and somatoform disorders"
R21,ICD10,20659,Symptoms and signs involving the skin and subcutaneous tissue
4011,ICD9,20645,Hypertensive diseases
Z7982,ICD10,20312,Persons encountering health services in other circumstances
V4989,ICD9,20199,Factors influencing Health Status 
V7791,ICD9,20185,Factors influencing Health Status 
R7989,ICD10,19895,"Abnormal findings on examination of blood, without diagnosis"
J0100,ICD10,19865,Acute upper respiratory infections
Z1159,ICD10,19503,Persons encountering health services for examination and investigation
R52,ICD10,19436,General symptoms and signs
78909,ICD9,19429,Symptoms 
I2510,ICD10,19335,Ischemic heart diseases
V4589,ICD9,19303,Factors influencing Health Status 
6929,ICD9,19299,Other inflammatory conditions of skin and subcutaneous tissue 
110033,OTHER,19203,
V059,ICD9,19089,Factors influencing Health Status 
3051,ICD9,19011,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
78659,ICD9,18526,Symptoms 
R1013,ICD10,18355,Symptoms and signs involving the digestive system and abdomen
27801,ICD9,18335,Other metabolic and immunity disorders 
2859,ICD9,18199,Anemia 
J329,ICD10,17935,Other diseases of the upper respiratory tract
7821,ICD9,17930,Symptoms 
V1582,ICD9,17848,Factors influencing Health Status 
J40,ICD10,17846,Chronic lower respiratory diseases
7851,ICD9,17691,Symptoms 
78841,ICD9,17688,Symptoms 
490,ICD9,17636,Chronic obstructive pulmonary disease and allied conditions 
M1990,ICD10,17579,Arthrosis
Z113,ICD10,17435,Persons encountering health services for examination and investigation
2449,ICD9,17299,Disorders of thyroid gland 
4739,ICD9,17234,Other diseases of the upper respiratory tract 
J0190,ICD10,17062,Acute upper respiratory infections
F17210,ICD10,16870,Mental and behavioural disorders due to psychoactive substance use
56400,ICD9,16814,Other diseases of intestines and peritoneum 
3829,ICD9,16755,Diseases of the ear and mastoid process 
R350,ICD10,16575,Symptoms and signs involving the urinary system
R002,ICD10,16423,Symptoms and signs involving the circulatory and respiratory systems
32723,ICD9,16393,Inflammatory diseases of the central nervous system 
M25511,ICD10,16233,Other joint disorders
R000,ICD10,16230,Symptoms and signs involving the circulatory and respiratory systems
78701,ICD9,16089,Symptoms 
R6889,ICD10,15993,General symptoms and signs
340,ICD9,15883,Other disorders of the central nervous system 
78702,ICD9,15657,Symptoms 
Z125,ICD10,15599,Persons encountering health services for examination and investigation
7820,ICD9,15596,Symptoms 
B9789,ICD10,15536,"Bacterial, viral and other infectious agents"
Z789,ICD10,15491,Persons encountering health services in other circumstances
J020,ICD10,15358,Acute upper respiratory infections
E876,ICD10,15331,Metabolic disorders
E1165,ICD10,15167,Diabetes mellitus
R102,ICD10,15092,Symptoms and signs involving the digestive system and abdomen
R030,ICD10,15091,Symptoms and signs involving the circulatory and respiratory systems
J189,ICD10,15052,Influenza and pneumonia
E663,ICD10,14847,Obesity and other hyperalimentation
K529,ICD10,14826,Noninfectious enteritis and colitis
R739,ICD10,14725,"Abnormal findings on examination of blood, without diagnosis"
G4700,ICD10,14646,Episodic and paroxysmal disorders
L309,ICD10,14586,Dermatitis and eczema
M25512,ICD10,14551,Other joint disorders
N898,ICD10,14428,Noninflammatory disorders of female genital tract
V0382,ICD9,14401,Factors influencing Health Status 
R0981,ICD10,14268,Symptoms and signs involving the circulatory and respiratory systems
R319,ICD10,14218,Symptoms and signs involving the urinary system
Z8249,ICD10,14178,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
4610,ICD9,14037,Acute respiratory infections 
R0600,ICD10,14015,Symptoms and signs involving the circulatory and respiratory systems
B349,ICD10,13941,Other viral diseases
7291,ICD9,13933,"Rheumatism, excluding the back "
V7610,ICD9,13848,Factors influencing Health Status 
7823,ICD9,13791,Symptoms 
V745,ICD9,13783,Factors influencing Health Status 
V771,ICD9,13760,Factors influencing Health Status 
Z794,ICD10,13759,Persons encountering health services in other circumstances
M79671,ICD10,13716,Other soft tissue disorders
R55,ICD10,13714,General symptoms and signs
Z6841,ICD10,13649,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
K5730,ICD10,13648,Other diseases of intestines
83,OTHER,13585,
71945,ICD9,13489,Arthropathies and related disorders 
M79672,ICD10,13438,Other soft tissue disorders
V5889,ICD9,13438,Factors influencing Health Status 
Z720,ICD10,13414,Persons encountering health services in other circumstances
47819,ICD9,13347,Other diseases of the upper respiratory tract 
82,OTHER,13321,
78096,ICD9,13276,Symptoms 
W19XXXA,ICD10,13257,Falls
M7989,ICD10,13241,Other soft tissue disorders
Z1239,ICD10,13236,Persons encountering health services for examination and investigation
7906,ICD9,13234,Nonspecific abnormal findings 
7999,ICD9,13182,Ill-defined and unknown causes of morbidity and mortality 
R1084,ICD10,13172,Symptoms and signs involving the digestive system and abdomen
N179,ICD10,13155,Renal failure
R600,ICD10,13135,General symptoms and signs
V7644,ICD9,13104,Factors influencing Health Status 
R531,ICD10,12907,General symptoms and signs
Z7984,ICD10,12881,Persons encountering health services in other circumstances
R202,ICD10,12597,Symptoms and signs involving the skin and subcutaneous tissue
5589,ICD9,12391,Noninfectious enteritis and colitis 
78906,ICD9,12371,Symptoms 
J4520,ICD10,12311,Chronic lower respiratory diseases
Z131,ICD10,12251,Persons encountering health services for examination and investigation
78052,ICD9,12027,Symptoms 
7962,ICD9,11962,Nonspecific abnormal findings 
E860,ICD10,11955,Metabolic disorders
J302,ICD10,11872,Other diseases of the upper respiratory tract
R7309,ICD10,11866,"Abnormal findings on examination of blood, without diagnosis"
71947,ICD9,11832,Arthropathies and related disorders 
F17200,ICD10,11820,Mental and behavioural disorders due to psychoactive substance use
K648,ICD10,11813,Other diseases of intestines
R1011,ICD10,11809,Symptoms and signs involving the digestive system and abdomen
V053,ICD9,11701,Factors influencing Health Status 
486,ICD9,11665,Pneumonia and influenza 
7243,ICD9,11531,Dorsopathies 
30002,ICD9,11518,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
Z7901,ICD10,11516,Persons encountering health services in other circumstances
E6609,ICD10,11457,Obesity and other hyperalimentation
4871,ICD9,11453,Pneumonia and influenza 
N760,ICD10,11430,Inflammatory Diseases Of Female Pelvic Organs
61610,ICD9,11403,Inflammatory Diseases Of Female Pelvic Organs 
N3000,ICD10,11287,Other diseases of urinary system
R200,ICD10,11256,Symptoms and signs involving the skin and subcutaneous tissue
R748,ICD10,11256,"Abnormal findings on examination of blood, without diagnosis"
110002,OTHER,11181,
Z136,ICD10,11180,Persons encountering health services for examination and investigation
Z9049,ICD10,11172,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
V7389,ICD9,11147,Factors influencing Health Status 
R1031,ICD10,11124,Symptoms and signs involving the digestive system and abdomen
7802,ICD9,11090,Symptoms 
B9689,ICD10,11076,"Bacterial, viral and other infectious agents"
D509,ICD10,11070,Nutritional anaemias
J449,ICD10,11032,Chronic lower respiratory diseases
V0489,ICD9,10980,Factors influencing Health Status 
79431,ICD9,10935,Nonspecific abnormal findings 
G4730,ICD10,10884,Episodic and paroxysmal disorders
G43909,ICD10,10769,Episodic and paroxysmal disorders
Z1389,ICD10,10758,Persons encountering health services for examination and investigation
78907,ICD9,10708,Symptoms 
M25551,ICD10,10703,Other joint disorders
27651,ICD9,10627,Other metabolic and immunity disorders 
J301,ICD10,10617,Other diseases of the upper respiratory tract
Z370,ICD10,10601,Persons encountering health services in circumstances related to reproduction
V0179,ICD9,10591,Factors influencing Health Status 
Z86010,ICD10,10583,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
R7303,ICD10,10578,"Abnormal findings on examination of blood, without diagnosis"
R928,ICD10,10576,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
R918,ICD10,10490,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
6259,ICD9,10474,Other disorders of female genital tract 
R001,ICD10,10414,Symptoms and signs involving the circulatory and respiratory systems
I517,ICD10,10413,Other forms of heart disease
L989,ICD10,10380,Other disorders of the skin and subcutaneous tissue
Z0001,ICD10,10378,Persons encountering health services for examination and investigation
Z7189,ICD10,10341,Persons encountering health services in other circumstances
52,OTHER,10298,
R1030,ICD10,10289,Symptoms and signs involving the digestive system and abdomen
N926,ICD10,10128,Noninflammatory disorders of female genital tract
R1032,ICD10,10022,Symptoms and signs involving the digestive system and abdomen
Z01810,ICD10,10005,Persons encountering health services for examination and investigation
N183,ICD10,9970,Renal failure
78607,ICD9,9915,Symptoms 
3804,ICD9,9912,Diseases of the ear and mastoid process 
34690,ICD9,9904,Other disorders of the central nervous system 
42789,ICD9,9896,Other forms of heart disease 
R1310,ICD10,9885,Symptoms and signs involving the digestive system and abdomen
Z8619,ICD10,9875,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
27802,ICD9,9846,Other metabolic and immunity disorders 
2113,ICD9,9812,Benign neoplasms 
J9601,ICD10,9803,Other diseases of the respiratory system
38870,ICD9,9790,Diseases of the ear and mastoid process 
59970,ICD9,9698,Other diseases of urinary system 
D72829,ICD10,9672,Other diseases of blood and blood-forming organs
M2550,ICD10,9657,Other joint disorders
V222,ICD9,9637,Factors influencing Health Status 
R0609,ICD10,9624,Symptoms and signs involving the circulatory and respiratory systems
R0683,ICD10,9623,Symptoms and signs involving the circulatory and respiratory systems
V7283,ICD9,9583,Factors influencing Health Status 
M25552,ICD10,9555,Other joint disorders
41401,ICD9,9542,Ischemic heart diseases
R1110,ICD10,9539,Symptoms and signs involving the digestive system and abdomen
2768,ICD9,9490,Other metabolic and immunity disorders 
F418,ICD10,9463,"Neurotic, stress-related and somatoform disorders"
6829,ICD9,9461,Infections of the skin and subcutaneous tissue 
I129,ICD10,9455,Hypertensive diseases
N200,ICD10,9434,Urolithiasis
5950,ICD9,9431,Other diseases of urinary system 
K760,ICD10,9418,Diseases of liver
M5416,ICD10,9418,Other dorsopathies
9597,ICD9,9415,Certain traumatic complications and unspecified injuries 
V221,ICD9,9406,Factors influencing Health Status 
M546,ICD10,9379,Other dorsopathies
I4891,ICD10,9271,Other forms of heart disease
M79605,ICD10,9254,Other soft tissue disorders
M791,ICD10,9237,Other soft tissue disorders
Z5181,ICD10,9222,Persons encountering health services for specific procedures and health care
Z139,ICD10,9199,Persons encountering health services for examination and investigation
Z780,ICD10,9161,Persons encountering health services in other circumstances
78703,ICD9,9088,Symptoms 
V705,ICD9,9062,Factors influencing Health Status 
M79604,ICD10,9015,Other soft tissue disorders
Z111,ICD10,9013,Persons encountering health services for examination and investigation
6235,ICD9,9006,Other disorders of female genital tract 
R0989,ICD10,9002,Symptoms and signs involving the circulatory and respiratory systems
E871,ICD10,8999,Metabolic disorders
7989,ICD9,8995,Ill-defined and unknown causes of morbidity and mortality 
J101,ICD10,8972,Influenza and pneumonia
E8889,ICD9,8956,Supplementary Classification of External Causes of Injury and Poisoning
R635,ICD10,8953,General symptoms and signs
78901,ICD9,8905,Symptoms 
Z713,ICD10,8896,Persons encountering health services in other circumstances
7244,ICD9,8879,Dorsopathies 
R062,ICD10,8809,Symptoms and signs involving the circulatory and respiratory systems
M5136,ICD10,8786,Other dorsopathies
Z2821,ICD10,8786,Persons with potential health hazards related to communicable diseases
72981,ICD9,8719,"Rheumatism, excluding the back "
N400,ICD10,8698,Diseases of male genital organs
Z8719,ICD10,8675,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
6262,ICD9,8602,Other disorders of female genital tract 
N189,ICD10,8589,Renal failure
S0990XA,ICD10,8587,Injuries to the head
V0389,ICD9,8575,Factors influencing Health Status 
47,OTHER,8555,
K635,ICD10,8549,Other diseases of intestines
7099,ICD9,8499,Other diseases of the skin and subcutaneous tissue 
61172,ICD9,8476,Disorders Of Breast 
V741,ICD9,8434,Factors influencing Health Status 
33819,ICD9,8414,Hereditary and Degenerative diseases of the central nervous system 
N3001,ICD10,8411,Other diseases of urinary system
56210,ICD9,8386,Other diseases of intestines and peritoneum 
41400,ICD9,8378,Ischemic heart diseases
K449,ICD10,8363,Hernia
42,OTHER,8346,
V829,ICD9,8283,Factors influencing Health Status 
E780,ICD10,8274,Metabolic disorders
R609,ICD10,8255,General symptoms and signs
7831,ICD9,8200,Symptoms 
Z01812,ICD10,8162,Persons encountering health services for examination and investigation
6264,ICD9,8154,Other disorders of female genital tract 
R5381,ICD10,8103,General symptoms and signs
160154,OTHER,8093,
73390,ICD9,8086,"Osteopathies, chondropathies, and acquired musculoskeletal deformities "
Z87898,ICD10,8075,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
J3489,ICD10,8057,Other diseases of the upper respiratory tract
Z7689,ICD10,8055,Persons encountering health services in other circumstances
V571,ICD9,8016,Factors influencing Health Status 
N939,ICD10,7956,Noninflammatory disorders of female genital tract
I340,ICD10,7945,Other forms of heart disease
7061,ICD9,7944,Other diseases of the skin and subcutaneous tissue 
2809,ICD9,7934,Anemia 
V242,ICD9,7883,Factors influencing Health Status 
I509,ICD10,7872,Other forms of heart disease
J3089,ICD10,7861,Other diseases of the upper respiratory tract
Z3009,ICD10,7820,Persons encountering health services in circumstances related to reproduction
399,ICD9,7800,Chronic rheumatic heart disease 
71943,ICD9,7779,Arthropathies and related disorders 
Z6835,ICD10,7683,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
M5441,ICD10,7677,Other dorsopathies
R7301,ICD10,7674,"Abnormal findings on examination of blood, without diagnosis"
M810,ICD10,7631,Disorders of bone density and structure
Z9889,ICD10,7584,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
K2970,ICD10,7579,"Diseases of esophagus, stomach, and duodenum"
M5442,ICD10,7547,Other dorsopathies
K210,ICD10,7545,"Diseases of esophagus, stomach, and duodenum"
J111,ICD10,7540,Influenza and pneumonia
78903,ICD9,7536,Symptoms 
R399,ICD10,7523,Symptoms and signs involving the urinary system
79021,ICD9,7516,Nonspecific abnormal findings 
J1289,ICD10,7499,Influenza and pneumonia
A419,ICD10,7475,Other bacterial diseases
38200,ICD9,7472,Diseases of the ear and mastoid process 
42731,ICD9,7465,Other forms of heart disease 
V7281,ICD9,7462,Factors influencing Health Status 
M47816,ICD10,7461,Spondylopathies
M1711,ICD10,7447,Arthrosis
N920,ICD10,7427,Noninflammatory disorders of female genital tract
2382,ICD9,7421,Neoplasms of uncertain behavior 
78057,ICD9,7412,Symptoms 
I480,ICD10,7394,Other forms of heart disease
49392,ICD9,7390,Chronic obstructive pulmonary disease and allied conditions 
Z800,ICD10,7370,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
419,ICD9,7364,Diseases of pulmonary circulation 
NA,OTHER,7355,
E538,ICD10,7347,Other nutritional deficiencies
Z392,ICD10,7336,Persons encountering health services in circumstances related to reproduction
5920,ICD9,7332,Other diseases of urinary system 
R634,ICD10,7331,General symptoms and signs
Z6830,ICD10,7307,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
12,OTHER,7301,
G629,ICD10,7265,Polyneuropathies and other disorders of the peripheral nervous system
95901,ICD9,7240,Certain traumatic complications and unspecified injuries 
72252,ICD9,7228,Dorsopathies 
V270,ICD9,7214,Factors influencing Health Status 
M25571,ICD10,7191,Other joint disorders
J0110,ICD10,7157,Acute upper respiratory infections
38181,ICD9,7151,Diseases of the ear and mastoid process 
Z90710,ICD10,7151,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
B373,ICD10,7145,Mycoses
7856,ICD9,7142,Symptoms 
Z833,ICD10,7131,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
79380,ICD9,7119,Nonspecific abnormal findings 
E1122,ICD10,7116,Diabetes mellitus
3004,ICD9,7109,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
8470,ICD9,7085,Sprains and strains of joints and adjacent muscles 
160482,OTHER,7071,
Z803,ICD10,7059,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
71590,ICD9,7023,Arthropathies and related disorders 
M722,ICD10,7021,Other soft tissue disorders
N529,ICD10,7016,Diseases of male genital organs
V1272,ICD9,7002,Factors influencing Health Status 
25002,ICD9,6991,Diseases of other endocrine glands 
B351,ICD10,6991,Mycoses
R140,ICD10,6982,Symptoms and signs involving the digestive system and abdomen
V5867,ICD9,6974,Factors influencing Health Status 
F331,ICD10,6973,Mood [affective] disorders
E118,ICD10,6970,Diabetes mellitus
78652,ICD9,6957,Symptoms 
Z6832,ICD10,6930,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
Z6831,ICD10,6907,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
M25572,ICD10,6903,Other joint disorders
4770,ICD9,6899,Other diseases of the upper respiratory tract 
3540,ICD9,6895,Disorders of the peripheral nervous system 
V812,ICD9,6890,Factors influencing Health Status 
M1712,ICD10,6867,Arthrosis
Z6842,ICD10,6861,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
38010,ICD9,6832,Diseases of the ear and mastoid process 
Z8673,ICD10,6832,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
M62838,ICD10,6831,Disorders of muscles
84500,ICD9,6827,Sprains and strains of joints and adjacent muscles 
R0902,ICD10,6821,Symptoms and signs involving the circulatory and respiratory systems
7213,ICD9,6774,Dorsopathies 
Z8679,ICD10,6769,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
60784,ICD9,6758,Diseases of male genital organs 
D229,ICD10,6750,Benign neoplasms
496,ICD9,6722,Chronic obstructive pulmonary disease and allied conditions 
Z1151,ICD10,6715,Persons encountering health services for examination and investigation
L821,ICD10,6708,Other disorders of the skin and subcutaneous tissue
115,ICD9,6700,Mycoses 
R0781,ICD10,6696,Symptoms and signs involving the circulatory and respiratory systems
R911,ICD10,6692,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
78904,ICD9,6686,Symptoms 
V720,ICD9,6635,Factors influencing Health Status 
78720,ICD9,6618,Symptoms 
I493,ICD10,6592,Other forms of heart disease
7062,ICD9,6587,Other diseases of the skin and subcutaneous tissue 
K625,ICD10,6582,Other diseases of intestines
72885,ICD9,6573,"Rheumatism, excluding the back "
Z130,ICD10,6566,Persons encountering health services for examination and investigation
7241,ICD9,6532,Dorsopathies 
Z6833,ICD10,6526,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
M79641,ICD10,6514,Other soft tissue disorders
6253,ICD9,6502,Other disorders of female genital tract 
D62,ICD10,6495,Aplastic and other anaemias
L089,ICD10,6494,Infections of the skin and subcutaneous tissue
T148,ICD10,6494,"Injuries to unspecified part of trunk, limb or body region"
T148XXA,ICD10,6487,"Injuries to unspecified part of trunk, limb or body region"
100000,OTHER,6482,
71690,ICD9,6481,Arthropathies and related disorders 
V6700,ICD9,6480,Factors influencing Health Status 
R5382,ICD10,6462,General symptoms and signs
I499,ICD10,6453,Other forms of heart disease
2169,ICD9,6434,Benign neoplasms 
M5412,ICD10,6431,Other dorsopathies
6272,ICD9,6428,Other disorders of female genital tract 
Z6834,ICD10,6409,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
5849,ICD9,6404,"Nephritis, nephrotic syndrome, and nephrosis "
IMO0002,UNKNOWN,6402,
E875,ICD10,6392,Metabolic disorders
E872,ICD10,6382,Metabolic disorders
M25569,ICD10,6357,Other joint disorders
N401,ICD10,6357,Diseases of male genital organs
37230,ICD9,6340,Disorders of the eye and adnexa 
1121,ICD9,6338,Mycoses 
5853,ICD9,6325,"Nephritis, nephrotic syndrome, and nephrosis "
V2509,ICD9,6312,Factors influencing Health Status 
71596,ICD9,6304,Arthropathies and related disorders 
Z00121,ICD10,6303,Persons encountering health services for examination and investigation
6260,ICD9,6301,Other disorders of female genital tract 
K921,ICD10,6280,Other diseases of the digestive system
S39012A,ICD10,6265,"Injuries to the abdomen, lower back, lumbar spine and pelvis"
G8918,ICD10,6263,Cerebral palsy and other paralytic syndromes
4550,ICD9,6256,"Diseases of veins and lymphatics, and other diseases of circulatory system"
7850,ICD9,6245,Symptoms 
Z0100,ICD10,6238,Persons encountering health services for examination and investigation
71516,ICD9,6235,Arthropathies and related disorders 
V8541,ICD9,6224,Factors influencing Health Status 
R29898,ICD10,6222,Symptoms and signs involving the nervous and musculoskeletal systems
V892XXA,ICD10,6222,Resistance to antimicrobial and antineoplastic drugs
I252,ICD10,6205,Ischemic heart diseases
Z9189,ICD10,6203,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
V6549,ICD9,6138,Factors influencing Health Status 
28860,ICD9,6136,Other 
72871,ICD9,6109,"Rheumatism, excluding the back "
5641,ICD9,6099,Other diseases of intestines and peritoneum 
6202,ICD9,6095,Other disorders of female genital tract 
M170,ICD10,6094,Arthrosis
M109,ICD10,6092,Inflammatory polyarthropathies
M8580,ICD10,6074,Disorders of bone density and structure
R590,ICD10,6032,General symptoms and signs
Z3490,ICD10,6026,Persons encountering health services in circumstances related to reproduction
78099,ICD9,6021,Symptoms 
J45901,ICD10,6005,Chronic lower respiratory diseases
I110,ICD10,6004,Hypertensive diseases
V5883,ICD9,5998,Factors influencing Health Status 
S161XXA,ICD10,5995,Injuries to the neck
H6123,ICD10,5994,Diseases of external ear
Z6836,ICD10,5991,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
M6281,ICD10,5981,Disorders of muscles
W57XXXA,ICD10,5972,Exposure to animate mechanical forces
Z888,ICD10,5972,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
R922,ICD10,5965,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
7905,ICD9,5945,Nonspecific abnormal findings 
K8020,ICD10,5934,"Disorders of gallbladder, biliary tract and pancreas"
I959,ICD10,5926,Other and unspecified disorders of the circulatory system
I739,ICD10,5921,"Diseases of arteries, arterioles, and capillaries "
R0982,ICD10,5909,Symptoms and signs involving the circulatory and respiratory systems
1101,ICD9,5865,Mycoses 
N289,ICD10,5853,Other disorders of kidney and ureter
Z955,ICD10,5844,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
122,ICD9,5836,Helminthiases 
78321,ICD9,5816,Symptoms 
J00,ICD10,5800,Acute upper respiratory infections
100001,OTHER,5782,
G43009,ICD10,5779,Episodic and paroxysmal disorders
V5861,ICD9,5776,Factors influencing Health Status 
D696,ICD10,5744,"Coagulation defects, purpura and other haemorrhagic conditions"
N644,ICD10,5736,Disorders Of Breast
71940,ICD9,5692,Arthropathies and related disorders 
3899,ICD9,5683,Diseases of the ear and mastoid process 
Z1329,ICD10,5680,Persons encountering health services for examination and investigation
V6759,ICD9,5663,Factors influencing Health Status 
G479,ICD10,5661,Episodic and paroxysmal disorders
5781,ICD9,5650,Other diseases of digestive system 
